Freq[#], X[m], Y[m], V[m], Z[m], Log(Abs)[*], Log(Im)[*], Log(Re)[*], Phase[*], Con[mS/m], Ro[Om*m], PPM, Lat[*], Lon[*], GNSS altitude, UTC
1, 73.067, 429.159, 435.335, -10, 1.66986e-07, 1.36638e-07, -9.5992e-08, -54.9108, 83.7266, 11.9436, 322.017, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
2, 73.067, 429.159, 435.335, -9.28571, 2.29924e-07, 1.74565e-07, -1.4964e-07, -49.3962, 74.6239, 13.4005, 424.711, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
3, 73.067, 429.159, 435.335, -8.57143, 3.45343e-07, 2.28338e-07, -2.59082e-07, -41.3908, 69.2746, 14.4353, 626.551, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
4, 73.067, 429.159, 435.335, -7.85714, 5.22547e-07, 3.2882e-07, -4.06119e-07, -38.9958, 60.9703, 16.4014, 924.274, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
5, 73.067, 429.159, 435.335, -7.14286, 8.87121e-07, 5.27204e-07, -7.1347e-07, -36.4618, 56.2337, 17.7829, 1545.27, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
6, 73.067, 429.159, 435.335, -6.42857, 1.64721e-06, 9.41476e-07, -1.35164e-06, -34.8589, 50.2495, 19.9007, 2834.2, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
7, 73.067, 429.159, 435.335, -5.71429, 2.50148e-06, 1.20314e-06, -2.19314e-06, -28.7489, 50.5242, 19.7925, 4324.44, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
8, 73.067, 429.159, 435.335, -5, 3.51992e-06, 1.92297e-06, -2.94822e-06, -33.1143, 44.8847, 22.2793, 6009.88, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
9, 73.067, 429.159, 435.335, -4.28571, 5.61253e-06, 3.03004e-06, -4.72434e-06, -32.6748, 42.6295, 23.4579, 9704.26, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
10, 73.067, 429.159, 435.335, -3.57143, 9.48091e-06, 5.13394e-06, -7.97059e-06, -32.786, 39.2655, 25.4676, 16485.3, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
11, 73.067, 429.159, 435.335, -2.85714, 1.72359e-05, 9.76176e-06, -1.42051e-05, -34.4969, 35.5317, 28.1439, 30445.8, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
12, 73.067, 429.159, 435.335, -2.14286, 3.42527e-05, 2.14017e-05, -2.67435e-05, -38.6689, 30.2714, 33.0345, 61819.5, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
13, 73.067, 429.159, 435.335, -1.42857, 7.25401e-05, 5.59257e-05, -4.61994e-05, -50.4404, 23.9556, 41.7438, 148834, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
14, 73.067, 429.159, 435.335, -0.714286, 0.000183591, 0.000165277, -7.99322e-05, -64.1904, 19.2382, 51.9799, 420822, 46.55247451, 40.29434552, 0, 2021.07.23 11:42:43:117
1, 73.287, 421.472, 427.796, -10, 1.60333e-07, 1.2405e-07, -1.01579e-07, -50.6874, 80.4031, 12.4373, 309.203, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
2, 73.287, 421.472, 427.796, -9.28571, 2.29767e-07, 1.77396e-07, -1.46025e-07, -50.5403, 74.5731, 13.4097, 424.754, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
3, 73.287, 421.472, 427.796, -8.57143, 3.44888e-07, 2.30135e-07, -2.56876e-07, -41.8571, 69.1837, 14.4543, 625.846, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
4, 73.287, 421.472, 427.796, -7.85714, 5.15811e-07, 3.20604e-07, -4.04073e-07, -38.4296, 60.1888, 16.6144, 911.907, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
5, 73.287, 421.472, 427.796, -7.14286, 8.70322e-07, 5.06325e-07, -7.07881e-07, -35.575, 55.1763, 18.1237, 1516, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
6, 73.287, 421.472, 427.796, -6.42857, 1.58918e-06, 9.17496e-07, -1.29757e-06, -35.2636, 48.4949, 20.6207, 2733.59, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
7, 73.287, 421.472, 427.796, -5.71429, 2.36562e-06, 1.18917e-06, -2.04499e-06, -30.1782, 47.8093, 20.9164, 4090.43, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
8, 73.287, 421.472, 427.796, -5, 3.36814e-06, 1.90532e-06, -2.77743e-06, -34.4502, 42.9727, 23.2706, 5753.01, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
9, 73.287, 421.472, 427.796, -4.28571, 5.47184e-06, 3.02355e-06, -4.56061e-06, -33.5432, 41.577, 24.0517, 9459.94, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
10, 73.287, 421.472, 427.796, -3.57143, 9.09661e-06, 4.99747e-06, -7.6009e-06, -33.3243, 37.7033, 26.5229, 15806.2, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
11, 73.287, 421.472, 427.796, -2.85714, 1.69063e-05, 9.65007e-06, -1.38816e-05, -34.8058, 34.8686, 28.6791, 29886.5, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
12, 73.287, 421.472, 427.796, -2.14286, 3.32037e-05, 2.09302e-05, -2.57761e-05, -39.0766, 29.3731, 34.0447, 59958.3, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
13, 73.287, 421.472, 427.796, -1.42857, 7.0581e-05, 5.46934e-05, -4.46128e-05, -50.7963, 23.3358, 42.8526, 144831, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
14, 73.287, 421.472, 427.796, -0.714286, 0.000173879, 0.000154178, -8.03946e-05, -62.4606, 18.2871, 54.6832, 397225, 46.55240538, 40.29434840, 0, 2021.07.23 11:42:44:868
1, 73.542, 413.811, 420.295, -10, 1.61398e-07, 1.28507e-07, -9.76488e-08, -52.7698, 80.9352, 12.3556, 310.932, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
2, 73.542, 413.811, 420.295, -9.28571, 2.15233e-07, 1.56261e-07, -1.48013e-07, -46.5527, 69.875, 14.3113, 397.605, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
3, 73.542, 413.811, 420.295, -8.57143, 3.32529e-07, 2.13515e-07, -2.54925e-07, -39.9482, 66.7165, 14.9888, 603.18, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
4, 73.542, 413.811, 420.295, -7.85714, 5.09153e-07, 3.15341e-07, -3.99747e-07, -38.2682, 59.4162, 16.8304, 900.771, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
5, 73.542, 413.811, 420.295, -7.14286, 8.60045e-07, 5.02455e-07, -6.98009e-07, -35.7478, 54.5293, 18.3388, 1498.39, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
6, 73.542, 413.811, 420.295, -6.42857, 1.59758e-06, 9.17757e-07, -1.30767e-06, -35.0623, 48.749, 20.5132, 2748.78, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
7, 73.542, 413.811, 420.295, -5.71429, 2.4126e-06, 1.20013e-06, -2.09292e-06, -29.831, 48.7485, 20.5134, 4172.07, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
8, 73.542, 413.811, 420.295, -5, 3.43491e-06, 1.89548e-06, -2.86457e-06, -33.4925, 43.8141, 22.8237, 5865.9, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
9, 73.542, 413.811, 420.295, -4.28571, 5.48416e-06, 3.01959e-06, -4.578e-06, -33.4083, 41.6692, 23.9985, 9478.62, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
10, 73.542, 413.811, 420.295, -3.57143, 9.19155e-06, 5.02052e-06, -7.69928e-06, -33.1074, 38.0895, 26.254, 15978.9, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
11, 73.542, 413.811, 420.295, -2.85714, 1.68433e-05, 9.59883e-06, -1.38405e-05, -34.7426, 34.7417, 28.7838, 29763.1, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
12, 73.542, 413.811, 420.295, -2.14286, 3.32079e-05, 2.10832e-05, -2.56566e-05, -39.4114, 29.3767, 34.0406, 59928.7, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
13, 73.542, 413.811, 420.295, -1.42857, 7.14379e-05, 5.55321e-05, -4.49396e-05, -51.0183, 23.6071, 42.3601, 146766, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
14, 73.542, 413.811, 420.295, -0.714286, 0.000176054, 0.000156629, -8.03879e-05, -62.8314, 18.5006, 54.0522, 402385, 46.55233649, 40.29435173, 0, 2021.07.23 11:42:46:617
1, 73.186, 406.149, 412.690, -10, 1.65185e-07, 1.31714e-07, -9.96875e-08, -52.8798, 82.8271, 12.0733, 318.205, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
2, 73.186, 406.149, 412.690, -9.28571, 2.3253e-07, 1.75218e-07, -1.52869e-07, -48.897, 75.4661, 13.251, 429.655, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
3, 73.186, 406.149, 412.690, -8.57143, 3.42794e-07, 2.26273e-07, -2.57505e-07, -41.3062, 68.7658, 14.5421, 622.249, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
4, 73.186, 406.149, 412.690, -7.85714, 5.2404e-07, 3.24168e-07, -4.11744e-07, -38.2135, 61.1435, 16.355, 926.895, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
5, 73.186, 406.149, 412.690, -7.14286, 8.9493e-07, 5.2119e-07, -7.27503e-07, -35.6182, 56.7252, 17.6289, 1558.84, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
6, 73.186, 406.149, 412.690, -6.42857, 1.67937e-06, 9.41301e-07, -1.39077e-06, -34.0909, 51.2216, 19.523, 2890.16, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
7, 73.186, 406.149, 412.690, -5.71429, 2.49329e-06, 1.22756e-06, -2.17016e-06, -29.4948, 50.3606, 19.8568, 4310.61, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
8, 73.186, 406.149, 412.690, -5, 3.56887e-06, 1.98883e-06, -2.96335e-06, -33.8673, 45.5009, 21.9776, 6095.09, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
9, 73.186, 406.149, 412.690, -4.28571, 5.61129e-06, 3.01774e-06, -4.73074e-06, -32.5338, 42.6202, 23.463, 9698.88, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
10, 73.186, 406.149, 412.690, -3.57143, 9.55208e-06, 5.26283e-06, -7.9715e-06, -33.433, 39.5546, 25.2815, 16608.2, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
11, 73.186, 406.149, 412.690, -2.85714, 1.71971e-05, 9.82769e-06, -1.41123e-05, -34.853, 35.4537, 28.2058, 30368, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
12, 73.186, 406.149, 412.690, -2.14286, 3.42835e-05, 2.19339e-05, -2.63489e-05, -39.7753, 30.2978, 33.0057, 61942.5, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
13, 73.186, 406.149, 412.690, -1.42857, 7.28661e-05, 5.70553e-05, -4.53229e-05, -51.5375, 24.0586, 41.5651, 149584, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
14, 73.186, 406.149, 412.690, -0.714286, 0.000180558, 0.000163074, -7.75126e-05, -64.5772, 18.9419, 52.7931, 411699, 46.55226758, 40.29434708, 0, 2021.07.23 11:42:48:367
1, 72.865, 398.739, 405.342, -10, 1.62676e-07, 1.23568e-07, -1.05804e-07, -49.4284, 81.5739, 12.2588, 313.655, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
2, 72.865, 398.739, 405.342, -9.28571, 2.28152e-07, 1.73127e-07, -1.48595e-07, -49.3604, 74.0514, 13.5041, 422.095, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
3, 72.865, 398.739, 405.342, -8.57143, 3.37599e-07, 2.19861e-07, -2.56192e-07, -40.6359, 67.7287, 14.7648, 612.547, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
4, 72.865, 398.739, 405.342, -7.85714, 5.21423e-07, 3.19148e-07, -4.12343e-07, -37.7394, 60.8399, 16.4366, 922.474, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
5, 72.865, 398.739, 405.342, -7.14286, 8.80977e-07, 5.10466e-07, -7.18014e-07, -35.4106, 55.847, 17.9061, 1534.77, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
6, 72.865, 398.739, 405.342, -6.42857, 1.67639e-06, 9.56412e-07, -1.3768e-06, -34.7864, 51.1315, 19.5574, 2885.76, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
7, 72.865, 398.739, 405.342, -5.71429, 2.49725e-06, 1.16172e-06, -2.21058e-06, -27.7232, 50.4398, 19.8256, 4318.23, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
8, 72.865, 398.739, 405.342, -5, 3.61049e-06, 2.0064e-06, -3.00167e-06, -33.7598, 46.0246, 21.7275, 6165.12, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
9, 72.865, 398.739, 405.342, -4.28571, 5.66411e-06, 3.07242e-06, -4.7584e-06, -32.8497, 43.0151, 23.2476, 9792.35, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
10, 72.865, 398.739, 405.342, -3.57143, 9.69887e-06, 5.35866e-06, -8.08411e-06, -33.5389, 40.1506, 24.9063, 16868.1, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
11, 72.865, 398.739, 405.342, -2.85714, 1.74398e-05, 9.91773e-06, -1.43452e-05, -34.6585, 35.9416, 27.8229, 30827.9, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
12, 72.865, 398.739, 405.342, -2.14286, 3.5158e-05, 2.20671e-05, -2.73702e-05, -38.8773, 31.0454, 32.2109, 63496.8, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
13, 72.865, 398.739, 405.342, -1.42857, 7.3067e-05, 5.68641e-05, -4.58831e-05, -51.1003, 24.1221, 41.4558, 150057, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
14, 72.865, 398.739, 405.342, -0.714286, 0.00017584, 0.000159759, -7.34607e-05, -65.3061, 18.4796, 54.1137, 401613, 46.55220094, 40.29434288, 0, 2021.07.23 11:42:50:117
1, 72.538, 391.565, 398.227, -10, 1.61853e-07, 1.2774e-07, -9.93915e-08, -52.1144, 81.1624, 12.321, 312.174, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
2, 72.538, 391.565, 398.227, -9.28571, 2.33117e-07, 1.75727e-07, -1.53178e-07, -48.9219, 75.6559, 13.2177, 431.519, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
3, 72.538, 391.565, 398.227, -8.57143, 3.41779e-07, 2.18817e-07, -2.62549e-07, -39.8089, 68.5631, 14.5851, 620.374, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
4, 72.538, 391.565, 398.227, -7.85714, 5.21344e-07, 3.19087e-07, -4.1229e-07, -37.7377, 60.8307, 16.4391, 922.225, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
5, 72.538, 391.565, 398.227, -7.14286, 8.92023e-07, 5.3095e-07, -7.16796e-07, -36.5283, 56.5422, 17.6859, 1554.05, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
6, 72.538, 391.565, 398.227, -6.42857, 1.68327e-06, 9.55572e-07, -1.38574e-06, -34.5892, 51.3393, 19.4783, 2896.18, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
7, 72.538, 391.565, 398.227, -5.71429, 2.52127e-06, 1.23245e-06, -2.19951e-06, -29.2631, 50.9193, 19.6389, 4358.21, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
8, 72.538, 391.565, 398.227, -5, 3.61243e-06, 1.98143e-06, -3.02052e-06, -33.2645, 46.049, 21.716, 6167, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
9, 72.538, 391.565, 398.227, -4.28571, 5.74991e-06, 3.10213e-06, -4.84131e-06, -32.6502, 43.6564, 22.9062, 9946.01, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
10, 72.538, 391.565, 398.227, -3.57143, 9.63132e-06, 5.2477e-06, -8.07614e-06, -33.015, 39.8764, 25.0775, 16757.1, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
11, 72.538, 391.565, 398.227, -2.85714, 1.73238e-05, 9.80386e-06, -1.42828e-05, -34.4661, 35.7083, 28.0047, 30619, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
12, 72.538, 391.565, 398.227, -2.14286, 3.44274e-05, 2.18332e-05, -2.66187e-05, -39.3593, 30.4209, 32.8722, 62166.8, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
13, 72.538, 391.565, 398.227, -1.42857, 7.32594e-05, 5.7081e-05, -4.59206e-05, -51.184, 24.1829, 41.3516, 150347, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
14, 72.538, 391.565, 398.227, -0.714286, 0.000178397, 0.000160823, -7.72099e-05, -64.3547, 18.7303, 53.3894, 406973, 46.55213642, 40.29433860, 0, 2021.07.23 11:42:51:867
1, 72.562, 382.918, 389.733, -10, 1.67416e-07, 1.3245e-07, -1.02398e-07, -52.292, 83.9416, 11.913, 322.717, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
2, 72.562, 382.918, 389.733, -9.28571, 2.27801e-07, 1.72821e-07, -1.48413e-07, -49.3451, 73.9378, 13.5249, 420.983, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
3, 72.562, 382.918, 389.733, -8.57143, 3.38179e-07, 2.18118e-07, -2.58437e-07, -40.164, 67.8445, 14.7396, 613.568, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
4, 72.562, 382.918, 389.733, -7.85714, 5.34688e-07, 3.32577e-07, -4.1867e-07, -38.4624, 62.3786, 16.0311, 945.655, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
5, 72.562, 382.918, 389.733, -7.14286, 9.06588e-07, 5.22059e-07, -7.41186e-07, -35.1592, 57.4587, 17.4038, 1579.23, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
6, 72.562, 382.918, 389.733, -6.42857, 1.6993e-06, 9.55437e-07, -1.40526e-06, -34.2119, 51.8235, 19.2963, 2923.97, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
7, 72.562, 382.918, 389.733, -5.71429, 2.52542e-06, 1.19728e-06, -2.22356e-06, -28.3003, 51.0021, 19.607, 4367.49, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
8, 72.562, 382.918, 389.733, -5, 3.59425e-06, 1.96127e-06, -3.01198e-06, -33.0704, 45.8203, 21.8244, 6137.98, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
9, 72.562, 382.918, 389.733, -4.28571, 5.70636e-06, 3.08682e-06, -4.79939e-06, -32.7479, 43.331, 23.0782, 9867.15, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
10, 72.562, 382.918, 389.733, -3.57143, 9.64504e-06, 5.28436e-06, -8.06859e-06, -33.222, 39.932, 25.0425, 16774.8, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
11, 72.562, 382.918, 389.733, -2.85714, 1.75658e-05, 1.00298e-05, -1.44209e-05, -34.8189, 36.1948, 27.6283, 31032.8, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
12, 72.562, 382.918, 389.733, -2.14286, 3.49634e-05, 2.21675e-05, -2.70378e-05, -39.3473, 30.8791, 32.3843, 63134.5, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
13, 72.562, 382.918, 389.733, -1.42857, 7.3827e-05, 5.75175e-05, -4.62834e-05, -51.177, 24.362, 41.0475, 151562, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
14, 72.562, 382.918, 389.733, -0.714286, 0.000182878, 0.000164359, -8.01884e-05, -63.993, 19.1686, 52.1687, 417959, 46.55205866, 40.29433892, 0, 2021.07.23 11:42:53:617
1, 72.334, 373.816, 380.750, -10, 1.6203e-07, 1.26701e-07, -1.00997e-07, -51.4406, 81.251, 12.3075, 312.496, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
2, 72.334, 373.816, 380.750, -9.28571, 2.34517e-07, 1.78354e-07, -1.52276e-07, -49.5099, 76.1082, 13.1392, 433.263, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
3, 72.334, 373.816, 380.750, -8.57143, 3.50011e-07, 2.25527e-07, -2.67666e-07, -40.1164, 70.2061, 14.2438, 635.19, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
4, 72.334, 373.816, 380.750, -7.85714, 5.42628e-07, 3.35918e-07, -4.26151e-07, -38.2473, 63.2994, 15.7979, 959.747, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
5, 72.334, 373.816, 380.750, -7.14286, 9.20967e-07, 5.49138e-07, -7.39343e-07, -36.6027, 58.3633, 17.1341, 1603.9, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
6, 72.334, 373.816, 380.750, -6.42857, 1.73371e-06, 1.00832e-06, -1.41034e-06, -35.5627, 52.8631, 18.9168, 2982.37, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
7, 72.334, 373.816, 380.750, -5.71429, 2.5745e-06, 1.28536e-06, -2.23067e-06, -29.9515, 51.9819, 19.2375, 4450.76, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
8, 72.334, 373.816, 380.750, -5, 3.66886e-06, 2.06913e-06, -3.02972e-06, -34.3308, 46.7589, 21.3863, 6263.27, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
9, 72.334, 373.816, 380.750, -4.28571, 5.82267e-06, 3.16811e-06, -4.88534e-06, -32.9631, 44.1999, 22.6245, 10064.3, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
10, 72.334, 373.816, 380.750, -3.57143, 9.77138e-06, 5.35355e-06, -8.17431e-06, -33.2217, 40.4448, 24.725, 16995.7, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
11, 72.334, 373.816, 380.750, -2.85714, 1.75221e-05, 1.00526e-05, -1.43516e-05, -35.0092, 36.1068, 27.6956, 30951.4, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
12, 72.334, 373.816, 380.750, -2.14286, 3.49912e-05, 2.20184e-05, -2.71951e-05, -38.9952, 30.9028, 32.3595, 63220.4, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
13, 72.334, 373.816, 380.750, -1.42857, 7.39024e-05, 5.7373e-05, -4.65823e-05, -50.9262, 24.3859, 41.0074, 151703, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
14, 72.334, 373.816, 380.750, -0.714286, 0.000182673, 0.000163291, -8.18859e-05, -63.3675, 19.1485, 52.2233, 417731, 46.55197680, 40.29433593, 0, 2021.07.23 11:42:55:368
1, 72.111, 365.093, 372.146, -10, 1.68104e-07, 1.29434e-07, -1.07266e-07, -50.3504, 84.2852, 11.8645, 324.126, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
2, 72.111, 365.093, 372.146, -9.28571, 2.30761e-07, 1.72246e-07, -1.53564e-07, -48.2818, 74.8944, 13.3521, 426.701, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
3, 72.111, 365.093, 372.146, -8.57143, 3.50537e-07, 2.2372e-07, -2.69862e-07, -39.6593, 70.3111, 14.2225, 636.004, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
4, 72.111, 365.093, 372.146, -7.85714, 5.46065e-07, 3.38634e-07, -4.28385e-07, -38.326, 63.6979, 15.6991, 965.647, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
5, 72.111, 365.093, 372.146, -7.14286, 9.33873e-07, 5.47046e-07, -7.56875e-07, -35.8582, 59.175, 16.899, 1626.92, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
6, 72.111, 365.093, 372.146, -6.42857, 1.74932e-06, 1.01368e-06, -1.42568e-06, -35.4135, 53.3344, 18.7496, 3010.61, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
7, 72.111, 365.093, 372.146, -5.71429, 2.56531e-06, 1.25622e-06, -2.23668e-06, -29.3206, 51.7985, 19.3056, 4436.28, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
8, 72.111, 365.093, 372.146, -5, 3.65192e-06, 2.03257e-06, -3.03401e-06, -33.8193, 46.5459, 21.4842, 6235.89, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
9, 72.111, 365.093, 372.146, -4.28571, 5.76028e-06, 3.13086e-06, -4.83514e-06, -32.9239, 43.7339, 22.8656, 9962.56, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
10, 72.111, 365.093, 372.146, -3.57143, 9.7101e-06, 5.37828e-06, -8.08456e-06, -33.634, 40.1962, 24.878, 16877.7, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
11, 72.111, 365.093, 372.146, -2.85714, 1.75806e-05, 1.00613e-05, -1.4417e-05, -34.9103, 36.2245, 27.6056, 31073.5, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
12, 72.111, 365.093, 372.146, -2.14286, 3.49951e-05, 2.22612e-05, -2.70017e-05, -39.5035, 30.9062, 32.356, 63224.3, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
13, 72.111, 365.093, 372.146, -1.42857, 7.45303e-05, 5.83329e-05, -4.639e-05, -51.5061, 24.5839, 40.677, 152983, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
14, 72.111, 365.093, 372.146, -0.714286, 0.000183025, 0.000164492, -8.0253e-05, -63.993, 19.183, 52.1296, 418140, 46.55189835, 40.29433302, 0, 2021.07.23 11:42:57:117
1, 71.886, 356.230, 363.410, -10, 1.6572e-07, 1.29828e-07, -1.02994e-07, -51.5745, 83.0941, 12.0345, 319.467, 46.55181864, 40.29433007, 0, 2021.07.23 11:42:59:117
2, 71.886, 356.230, 363.410, -9.28571, 2.31286e-07, 1.71148e-07, -1.55568e-07, -47.7301, 75.064, 13.322, 427.991, 46.55181864, 40.29433007, 0, 2021.07.23 11:42:59:117
3, 71.886, 356.230, 363.410, -8.57143, 3.40271e-07, 2.1306e-07, -2.6531e-07, -38.7666, 68.262, 14.6494, 617.558, 46.55181864, 40.29433007, 0, 2021.07.23 11:42:59:117
4, 71.886, 356.230, 363.410, -7.85714, 5.22875e-07, 3.14344e-07, -4.17835e-07, -36.9548, 61.0083, 16.3912, 924.755, 46.55181864, 40.29433007, 0, 2021.07.23 11:42:59:117
5, 71.886, 356.230, 363.410, -7.14286, 8.93861e-07, 5.08172e-07, -7.35356e-07, -34.6466, 56.6579, 17.6498, 1557.38, 46.55181864, 40.29433007, 0, 2021.07.23 11:42:59:117
